n,gamma,beta_partial,energy_mean_partial,Jminus1_over_gamma
27,94.65134404051987,0.027073462833308717,0.020770317608393905,0.10943957357172375
28,95.87063422824532,0.027149328615178714,0.020825170133694105,0.11168446178627321
29,98.83119421819367,0.027165893583314584,0.020837215457504096,0.10915746160143491
30,101.31785100573138,0.027185470570583146,0.02085175053245441,0.10747016955546973
31,103.72553804047834,0.0272250404323702,0.020881564198283027,0.10702781206635217
32,105.44662305232607,0.0272762748139539,0.020920159828712998,0.10798222610494994
33,107.1686111842764,0.027295850872768652,0.02093477266571428,0.1072961571375993
34,111.02953554316969,0.02735995529538641,0.020981318559967804,0.10712387102272124
35,111.87465917699264,0.0274462025738238,0.02104379629224704,0.11113917460234872
36,114.32022091545272,0.027469805388861325,0.021060996204184296,0.11011082778498991
37,116.22668032085755,0.027485024100023715,0.021072238139878883,0.10918911285530823
38,118.7907828659762,0.02749440166037409,0.021079276606296334,0.10738925637544744
39,121.37012500242064,0.027520180094724258,0.021098622191638397,0.10667142629275066
40,122.94682929355258,0.027574607145337767,0.02113912325487558,0.10864931427702523
41,124.25681855434576,0.027598757819609087,0.021156928604100924,0.10900433587667265
42,127.5166838795965,0.02760668731829919,0.021162685818836787,0.10672330386142372
43,129.57870419995606,0.027628367458228557,0.02117849272551296,0.10642965072780612
44,131.08768853093267,0.027649997438820666,0.02119440254764407,0.1066222441606534
45,133.4977372029976,0.027671410729732854,0.021210393743930682,0.1061267145790918
46,134.75650975337388,0.027685284250199615,0.0212208010690372,0.10607016196048104
47,138.11604205453344,0.02769578500245089,0.02122862346255756,0.1042152837850702
48,139.7362089521214,0.027727345128090816,0.021251899429033057,0.10521203747819813
49,141.12370740402113,0.027752000908229813,0.021269937005490885,0.10591739436169761
